ID,Name of the organisation,DESCRIPTION,KEYWORDS,ADDRESS,EIRCODE,ONLINE ONLY SERVICE,WEBSITE,EMAIL,TELEPHONE,CATEGORIES,SUPPORT,latitude,longitude,DropIn_Info,
362,Kilkenny - Co. Kilkenny Adult Guidance Service,"Co. Kilkenny Adult Guidance Service provides guidance and information to the public who are seeking to explore their options in education, training or employment. We offer 1-1 guidance counselling to support our clients in meeting their full potential both personally and professionally. We assist clients with course choices,applications,funding.","Education, Training, Guidance Counselling, ","Lower New Street, Kilkenny.",R95AV65,No,www.kcetb.ie,adultguidance@kkadulted.ie,+353567764448,"Information & Advice, Employment & Training, Education",Information & Advice,52.649,-7.255,"Yes. We are open Monday - Friday, 9am-5pm. (Closed for lunch 1pm-2pm)",
363,Kilkenny - Immigrant Services,"Immigrant Support Clinics in Fr. McGrath Family Resource Centre, Kilkenny, One-to-One Support with Administrative issues, Naturalisation, Family Reunification and other such issues that are barriers to immigrants engaging with  mainstream services. Linkage to Statutory and community services, FAILTE ISTEACH English Language support.","Immigrant support, Help with forms,  English classeslasses, ","St. Joseph's Road, Kilkenny",K95POKK,No,https://frmcgrathcentre.ie,immigrantservicekk@gmail.com,0861927033 & 0861966073,"Information & Advice, Language Support",Multiple Services,52.655,-7.263,"Monday, Tuesday, Thursday  by appointment",
364,Kilkenny - Kilkenny County Council - Local Authority Integration Team,"The role of the Integration Team is to provide advice, guidance and information to empower International Protection Applicants, Refugees and Beneficiaries of Temporary Protection ensuring you are connected with all appropriate services to support you in building your life in Kilkenny.","Advice, Information, Advocacy, ","Kilkenny County Council, County Hall, John St., Kilkenny, ",R95 A39T,No,https://kilkennycoco.ie/eng/services/local-authority-integration-team/,integration@kilkennycoco.ie,0567794419,Information & Advice,Information & Advice,52.652,-7.248,N/A,
365,Kilkenny - Places of Sanctuary/Schools of Sanctuary,"We aim to build a culture of welcome, inclusion and understanding for all refugees and asylum seekers coming to Ireland. We help create spaces where refugees and other newcomers can meet and build understanding with locals, through Schools, Universities and other Places of Sanctuary.","Welcoming refugees in schools, Universities, churches, libraries and communities",Kilkenny,None,No,https://schools-ireland.cityofsanctuary.org/,schools@ireland.cityofsanctuary.org,None,"Employment & Training, Education, Language Support, Community & Family, Public Awareness & Activsm, Empowering and linking refugees and host communities",Education,52.655,-7.246,N/A,
366,Kilkenny - South Leinster Citizens Information Service-Kilkenny,"We provide information, assistance with forms and advocacy to appeal decisions. Service users need to be able to communicate in English, or they can bring someone with them to translate.",Information,"4 The Parade, Kilkenny, R95 VO52",R95 V052,No,www.citizensinformation.ie,kilkenny@citinfo.ie,0818077910,Information & Advice,Information & Advice,52.650,-7.251,"Monday to Friday, 10am to 12.30pm",
367,Laois - Laois Local Authority Integration Team,"Local Authority Integration Teams (LAITs) promote integration from day one by helping international protection applicants, refugees, and beneficiaries of temporary protection access essential services and supports. Through service mapping, clinics, and tailored coordination, LAITs ensure individuals and families can fully engage with communities.","Integration, Access, Welcoming, Supportive, Help, Inclusive, Empowering, Practical, Caring, Community, Guidance, Informative, Holistic, Compassionate","Laois County Council, Áras an Chontae, James Fintan Lalor Ave, Kylekiproe, Portlaoise, Co. Laois, R32 EHP9",R32 EHP9,No,https://laois.ie/integration-services-supports,integration@laoiscoco.ie,0578664082,Information & Advice,Multiple Services,53.032,-7.301,N/A,
368,Leitrim - Leitrim Adult Educational Guidance Service,"The Leitrim Adult Educational Guidance Service helps people to make informed education, career and life choices by providing impartial and confidential Guidance Counselling, Information and Support to adults in relation to their education, training and career options.","Information, advice, guidance, training, education, careers","Further Education & Training Centre, Marketyard, Carrick-on-Shannon, County Leitrim N41 P997",N41 P997,No,https://msletbadultguidance.ie/,martinaosullivan@msletb.ie,071 962 1371,"Information & Advice, Education",Education,53.945,-8.096,Monday to Friday 9am-4.30pm,
369,Leitrim - Leitrim Local Authority Integration Team (LAIT),"Leitrim Local Authority Integration Team (LAIT) promote integration from day one by helping international protection applicants, refugees, and beneficiaries of temporary protection access essential services and supports. Through service mapping, clinics, and tailored coordination.","Integration, Inclusive, Access, Welcoming, Supportive, Help, Inclusive, Empowering, Practical, Community, Guidance, Informative","Corporate, Community and Cultural Services  Áras An Chontae, Carrick on Shannon, County Leitrim.",N41 PF67,No,www.leitrim.ie,integration@leitrimcoco.ie,(071)9344030,"Information & Advice, Housing Support, Wellbeing & Mental Health, Community & Family",Multiple Services,53.944,-8.099,Yes,
370,Leitrim - Sanctuary Runners,"We have groups nation wide. You can find the updated list at https://sanctuaryrunners.ie/groups/  . Sanctuary Runners uses running, jogging and walking to bring together everyone in the community. Our model allows people to get to know each other and have fun while getting some exercise, especially migrants and refugees new to the community! We operate under the principles of solidarity, friendship and respect. ","Community, friendship, network, running, walking, jogging, exercise, mental health, wellbeing, parks",Ballinamore,None,No,https://sanctuaryrunners.ie/,info@sanctuaryrunners.ie,None,"Wellbeing & Mental Health, Community & Family",Multiple Services,54.052,-7.803,"Yes, each group welcomes people to 'just show up'. Times vary depending on the group",
371,Limerick - Community Law & Mediation,"Community Law & Mediation is an independent community law centre in Dublin. We also have a law centre in Limerick. We provide free legal advice in Ireland in employment, social welfare, housing, child law and environmental justice. We also welcome general queries. We also provide advocacy, mediation and education services.","Free Legal Advice, Mediation, Conflict Coaching","Limerick Social Service Centre, Henry Street, Limerick, Ireland",V94 2W14,No,https://communitylawandmediation.ie/,info@communitylawandmediation.ie,061536100,"Information & Advice, Employment & Training, Education, Housing Support, Community & Family, Legal Advice, Public Awareness & Activsm",Legal Advice,52.658,-8.635,"Yes, 9.30am-5pm",
372,Limerick - Doras,"Doras is a migrant support and human rights organisation providing direct support by phone and at our centre in Limerick. Our work covers immigration and international protection, refugee resettlement (including Ukrainian response), supporting migrant victims of crime, integration and non-discrimination, education/employment, and health/wellbeing.","Immigration, residency, direct provision, social welfare, education, employment, visa applications, family reunification, citizenship, English classes, computer classes, victim of crime, Ukraine, anti-racism, mental health, community sponsorship","Central Buildings, 51a O’Connell Street, Limerick",V94 W275,No,www.doras.org,info@doras.org,083 0802378 / 061 310328,"Information & Advice, Employment & Training, Education, Language Support, Wellbeing & Mental Health, Community & Family, Legal Advice, Public Awareness & Activsm",Multiple Services,52.661,-8.629,"Yes. Monday to Friday, 9.30am to 1pm, and 2.30pm to 4pm",
373,Limerick - Limerick and Clare Education and Training Board,"Education provider offering a wide range of both accredited and non accredited courses in adult education. Migrant Specific Career Guidance is available to asylum seekers, migrants and refugees who reside both in and out of Direct Provision Accommodation Centres in Limerick and Clare.","English classes, finding work, qualification recognition, learning supports, employment supports, interview skills, CV preparation",Limerick,V9 Y6H3,No,www.collegeoffet.ie,mary.cantwell@lcetb.ie,086 0320605,Education,Education,52.647,-8.599,N/A,
374,Limerick - Limerick and Clare Education and Training Board College of Further Education and Training,Limerick and Clare Education and Training Board College of Further Education and Training offers hundreds of full-time and part-time Further Education and Training learning pathways at our multi-campus College of Further Education and Training across Limerick and Clare and over 300 other locations in the community.,"English classes, finding work, qualification recognition, learning supports, employment supports, interview skills, CV preparation","Information Hub, College of Further Education & Training, O’Connell Avenue Campus, Technical Institute, O’Connell Avenue, Limerick, V94 W651",V94 W651,No,https://collegeoffet.ie/,coursechoices@lcetb.ie,1800 707077,"Education, Language Support",Education,52.656,-8.634,coursechoices@lcetb.ie ,
375,Limerick - Limerick Citizens Information Centre,"Limerick CIS supports Migrants, Refugees and Asylum Seekers by providing comprehensive information on public services and entitlements of citizens in Ireland. Including: • Citizenship Clinic every Wednesday, • Polish Language Clinic every Tuesday, • Ukrainian Clinic every Friday, • Asylum Seeker Clinics at Knockalisheen direct provision centre. ","Information & Advice, Advocacy, Social Policy, Help with forms.","Ground Floor, Riverstone House, Henry Street, Limerick.",V94 3T28,No,www.citizensinformation.ie,limerick@citinfo.ie,(0818) 075 780,Information & Advice,Information & Advice,52.660,-8.632,General Drop in - non specialist clinics Tues Wed Thurs 9.30-12.30 & 2-4pm,
376,Limerick - Limerick City & County Council,"Limerick City & County Council is the local authority managing the Limerick administrative area.   The LAIT(Local Authority Integration Team) focuses on the provision of support and guidance to those who come to live in Limerick, either through private means or as residents of state provided accommodation.","employment, education, PPS, childcare, support, language,","City Hall, Merchants Quay, Limerick",V94 EH90,No,www.limerick.ie,integration@limerick.ie,061 556000,"Information & Advice, Employment & Training, Education, Language Support, Wellbeing & Mental Health, Community & Family, Youth Services, Public Awareness & Activsm",Multiple Services,52.668,-8.625,9.00am - 5.00pm Monday to Friday,
377,Limerick - Limerick Volunteer Centre,As a Volunteer Centre we can help people to find worthwhile and engaging volunteering positions with charities and volunteer organisations locally and nationally.,Volunteering,"(By Appointment) Unit 40, Tait Business Centre, Dominic Street, Limerick",None,No,www.volunteerlimerick.ie ,geraldine@volunteerlimerick.ie,087 738 7481,"Information & Advice, Guidance to Volunteering",Other,52.660,-8.626,By appointment 9.00 to 12.30 or 2.00 to 4.30 Mondy to Friday,
378,Limerick - Places of Sanctuary/Schools of Sanctuary,"We aim to build a culture of welcome, inclusion and understanding for all refugees and asylum seekers coming to Ireland. We help create spaces where refugees and other newcomers can meet and build understanding with locals, through Schools, Universities and other Places of Sanctuary.","Welcoming refugees in schools, Universities, churches, libraries and communities",Limerick,None,No,https://schools-ireland.cityofsanctuary.org/,schools@ireland.cityofsanctuary.org,None,"Employment & Training, Education, Language Support, Community & Family, Public Awareness & Activsm, Empowering and linking refugees and host communities",Education,52.664,-8.627,N/A,
379,Limerick - Sanctuary Runners,"We have groups nation wide. You can find the updated list at https://sanctuaryrunners.ie/groups/  . Sanctuary Runners uses running, jogging and walking to bring together everyone in the community. Our model allows people to get to know each other and have fun while getting some exercise, especially migrants and refugees new to the community! We operate under the principles of solidarity, friendship and respect. ","Community, friendship, network, running, walking, jogging, exercise, mental health, wellbeing, parks",Limerick,None,No,https://sanctuaryrunners.ie/,limerick@sanctuaryrunners.ie,None,"Wellbeing & Mental Health, Community & Family",Multiple Services,52.664,-8.627,"Yes, each group welcomes people to 'just show up'. Times vary depending on the group",
380,Longford - LWETB FET Guidance Service,"Returning to learning as an adult can be challenging, especially if early experiences of education were difficult. LWETB FET Guidance Service offers information, advice and guidance on training, education and careers for adults who are interested in returning to education. ","Guidance, Adult Education, Courses, ","Offices in Athlone, Longford and Mullingar",N39HR68,No,www.lwetb.ie,adultguidance@lwetb.ie,044 9342111,Education,Education,53.740,-7.802,N/A,
381,Longford - Sanctuary Runners,"We have groups nation wide. You can find the updated list at https://sanctuaryrunners.ie/groups/  . Sanctuary Runners uses running, jogging and walking to bring together everyone in the community. Our model allows people to get to know each other and have fun while getting some exercise, especially migrants and refugees new to the community! We operate under the principles of solidarity, friendship and respect. ","Community, friendship, network, running, walking, jogging, exercise, mental health, wellbeing, parks",Longford Town,None,No,https://sanctuaryrunners.ie/,sanctuaryrunnerlongford@gmail.com,None,"Wellbeing & Mental Health, Community & Family",Multiple Services,53.727,-7.796,"Yes, each group welcomes people to 'just show up'. Times vary depending on the group",
382,Louth - Development Perspectives,"Development Perspectives is an independent Global Citizenship Education NGO and registered charity based in Drogheda. We provide specific educational projects to migrant groups on topics such as storytelling, photography, podcasting and outdoor education. We also host events that bring migrants and the local community together.","Employability skills, inter-cultural events, storytelling, podcasting, photography, volunteering","Development Perspectives, The Mall, North Quay, Drogheda, Co. Louth",A92 R688,No,www.developmentperspectives.ie,paul@developmentperspectives.ie,+353 419801005,"Employment & Training, Education",Education,53.715,-6.346,N/A,
383,Louth - LMETB Adult Educational Guidance Service - LOUTH,"The information and guidance service is free, confidential and offers independent advice to people who wish to explore their education and training options, helping them make informed educational, career and life choices.",Guidance Education Training,"FET Centre, King St, Drogheda, Co. Louth, A92 R594",A92 R594,No,https://www.lmetb.ie/further-education-training/guidance-information-and-recruitment/,laegis@lmetb.ie,086 0676652,Education,Education,53.717,-6.348,9am-5pm,
384,Louth - LMETB Adult Educational Guidance Service - LOUTH,"The information and guidance service is free, confidential and offers independent advice to people who wish to explore their education and training options, helping them make informed educational, career and life choices.",Guidance Education Training,"FET Centre, King St, Drogheda, Co. Louth, A92 R594",A92 R594,No,https://www.lmetb.ie/further-education-training/guidance-information-and-recruitment/,laegis@lmetb.ie,086 0676652,Education,Education,53.717,-6.348,9am-5pm,
385,Louth - Louth County Council,Local authority ,"Our role is to provide advice, guidance and information to support you to live independently.",County Hall  Millennium Centre  Dundalk  A91 KFW6,A91 KFW6,No,www.louthcoco.ie,integration@louthcoco.ie,042-9335457,Information & Advice,Information & Advice,54.004,-6.387,N/A,
386,Mayo - Mayo LAIT,"The Integration Team acts as the direct point of contact to provide information, guidance and advice. We visit IPAS Accommodation Centres to identify and offer supports needed by residents. This includes: Confidential clinics to understand their support needs, Signposting to relevant services, Information sessions on a 1-1 basis","Information, Asylum process, English Classes, Support",None,None,No,https://www.mayo.ie/community/integration/lait,integration@mayococo.ie,None,Information & Advice,Information & Advice,54.015,-9.429,N/A,
387,"Mayo - Mayo, Sligo and Leitrim Education and Training Board (MSLETB)","MSLETB is a leading provider of education and training in the northwest. We are responsive to the needs of learners, employers, and communities across the counties of Mayo, Sligo and Leitrim. We aim to provide a positive experience for our learners in a professional, caring and collaborative environment.",Information and Guidance on education and training opportunities,Mayo Sligo and Leitrim Education and Training Board Newtown Castlebar Co. Mayo ,F23 DV78,No,www.msletb.ie,communications@msletb.ie,1800 100100,"Information & Advice, Employment & Training, Education, Youth Services",Education,53.858,-9.303,9am - 5pm,
388,Mayo - South West Mayo Development Company ,"WIN Project (AMIF funded) to offer information, supports, orientation, activities or advocacy for international protection applicants and non-EU migrants in Mayo","Information,  advice, help with forms, citizenship, new communities ","Georges Street, Newport, Co Mayo ",None ,No,www.southmayo.com ,npestova@southmayo.com,0860406134,Information & Advice,Information & Advice,53.886,-9.546,N/A,
389,Meath - Cultúr Migrants Centre,"To use a community work approach to engage with and empower ethnic minorities in Co. Meath, building participation and collective action, supporting ethnic minorities as agents for social change on issues identified by ethnic minorities themselves.","Help with forms, Finding work, Training, English classes, Rights","Ground Floor, St. Anne’s Resource Centre Railway St Navan Co. Meath.",C15 W0YX,No,https://cultur.ie/,communityworker@cultur.ie,None,"Information & Advice, Employment & Training, Education, Language Support, Housing Support, Public Awareness & Activsm",Multiple Services,53.651,-6.686,9:30-1.00   2:00-5:30,
390,Meath - Fáilte Isteach [Third Age Foundation],"Fáilte Isteach is a conversational English language project involving predominantly older volunteer tutors welcoming migrants and refugees through free, accessible classes. It's a community-based project offering a welcoming space for all. We currently have 200 active locations across 26 counties in Ireland.","Conversational English Classes, Fáilte Isteach, Improve English Conversational Skills, Free English Classes",Office address is Summerhill in Meath but we have group locations across Ireland. All classes are listed here: https://www.thirdageireland.ie/failte-isteach/locations ,A83 PW94,No,https://www.thirdageireland.ie/failte-isteach,failteisteach@thirdageireland.ie,(046) 9557766,Language Support,Language Support,53.483,-6.740,"All classes are available for drop in, although learners are encourage to attend regularly when possible.",
391,Meath - LMETB Adult Educational Guidance Service,"Adult Educational Guidance Service is free, confidential and offers independent advice to people who wish to explore their education and training options, helping them make informed educational, career and life choices",Guidance Education Training,Railway St Navan Co Meath C15 X407,C15 X407,No,https://www.lmetb.ie,adultguidance@lmetb.ie,Freephone 1800 991 898,Education,Education,53.649,-6.685,Kells Tuesday    Trim Thursday    Ashbourne first Friday of each month,
392,Meath - LMETB Adult Educational Guidance Service,"Adult Educational Guidance Service is free, confidential and offers independent advice to people who wish to explore their education and training options, helping them make informed educational, career and life choices",Guidance Education Training,Railway St Navan Co Meath C15 X407,C15 X407,No,https://www.lmetb.ie,adultguidance@lmetb.ie,Freephone 1800 991 898,Education,Education,53.649,-6.685,Kells Tuesday    Trim Thursday    Ashbourne first Friday of each month,
393,Meath - LMETB Adult Educational Guidance Service,"Adult Educational Guidance Service is free, confidential and offers independent advice to people who wish to explore their education and training options, helping them make informed educational, career and life choices",Guidance Education Training,Railway St Navan Co Meath C15 X407,C15 X407,No,https://www.lmetb.ie,adultguidance@lmetb.ie,Freephone 1800 991 898,Education,Education,53.649,-6.685,Kells Tuesday    Trim Thursday    Ashbourne first Friday of each month,
394,Meath - Meath County Council,"The Local Authority Integration Team (LAIT) is available to provide on-going integration supports to people categorised in any of the following groups living in County Meath: International Protection (IP) applicants, Programme Refugees, Beneficiaries of Temporary Protection (BOTP).","The Integration team will provide signposting to services one needs to access employment and develop English language proficiency, access childcare and healthcare services and to connect to sporting and other local/community activities. ","Buvinda House, Dublin Road, Navan, Co. Meath",C15 Y291,No,https://www.meath.ie/council/council-services/community/local-authority-integration-team,integration@meathcoco.ie,0469097000,Information & Advice,Multiple Services,53.649,-6.685,"By appointment only M-F 09-17, closed for lunch 13-14",
395,Monaghan - Cavan and Monaghan Education and Training Board ,"We aim to provide adults in counties Cavan and Monaghan with the Information, Advice, and Guidance needed to help them make the correct decisions regarding their education, training and career choices.",English classes all levels ,"CMETB Adult Education Service, Dun Mhuire, Mullaghanmonaghan, Monaghan , H18T383",H18T383,No,https://www.cmetbadultguidance.ie/,monaghanguidance@cmetb.ie,04730800,Information & Advice,Information & Advice,54.247,-6.975,Wed 9.30-12.00 & Thurs 9.30-12.00,
396,Monaghan - Cavan and Monaghan Education and Training Board ,"We aim to provide adults in counties Cavan and Monaghan with the Information, Advice, and Guidance needed to help them make the correct decisions regarding their education, training and career choices.",English classes all levels ,"CMETB Adult Education Service, Dun Mhuire, Mullaghanmonaghan, Monaghan , H18T383",H18T383,No,https://www.cmetbadultguidance.ie/,monaghanguidance@cmetb.ie,04730800,Information & Advice,Information & Advice,54.247,-6.975,Wed 9.30-12.00 & Thurs 9.30-12.00,
397,Monaghan - Cavan and Monaghan Education and Training Board ,"We aim to provide adults in counties Cavan and Monaghan with the Information, Advice, and Guidance needed to help them make the correct decisions regarding their education, training and career choices.",English classes all levels ,"CMETB Adult Education Service, Dun Mhuire, Mullaghanmonaghan, Monaghan , H18T383",H18T383,No,https://www.cmetbadultguidance.ie/,monaghanguidance@cmetb.ie,04730800,Information & Advice,Information & Advice,54.247,-6.975,Wed 9.30-12.00 & Thurs 9.30-12.00,
398,Monaghan - Cavan and Monaghan Education and Training Board ,"We aim to provide adults in counties Cavan and Monaghan with the Information, Advice, and Guidance needed to help them make the correct decisions regarding their education, training and career choices.",English classes all levels ,"CMETB Adult Education Service, Dun Mhuire, Mullaghanmonaghan, Monaghan , H18T383",H18T383,No,https://www.cmetbadultguidance.ie/,monaghanguidance@cmetb.ie,04730800,Information & Advice,Information & Advice,54.247,-6.975,Wed 9.30-12.00 & Thurs 9.30-12.00,
399,Monaghan - Cavan and Monaghan Education and Training Board ,"We aim to provide adults in counties Cavan and Monaghan with the Information, Advice, and Guidance needed to help them make the correct decisions regarding their education, training and career choices.",English classes all levels ,"CMETB Adult Education Service, Dun Mhuire, Mullaghanmonaghan, Monaghan , H18T383",H18T383,No,https://www.cmetbadultguidance.ie/,monaghanguidance@cmetb.ie,04730800,Information & Advice,Information & Advice,54.247,-6.975,Wed 9.30-12.00 & Thurs 9.30-12.00,
400,Monaghan - Cavan and Monaghan Education and Training Board ,"We aim to provide adults in counties Cavan and Monaghan with the Information, Advice, and Guidance needed to help them make the correct decisions regarding their education, training and career choices.",English classes all levels ,"CMETB Adult Education Service, Dun Mhuire, Mullaghanmonaghan, Monaghan , H18T383",H18T383,No,https://www.cmetbadultguidance.ie/,monaghanguidance@cmetb.ie,04730800,Information & Advice,Information & Advice,54.247,-6.975,Wed 9.30-12.00 & Thurs 9.30-12.00,
401,Monaghan - Cavan and Monaghan Education and Training Board ,"We aim to provide adults in counties Cavan and Monaghan with the Information, Advice, and Guidance needed to help them make the correct decisions regarding their education, training and career choices.",English classes all levels ,"CMETB Adult Education Service, Dun Mhuire, Mullaghanmonaghan, Monaghan , H18T383",H18T383,No,https://www.cmetbadultguidance.ie/,monaghanguidance@cmetb.ie,04730800,Information & Advice,Information & Advice,54.247,-6.975,Wed 9.30-12.00 & Thurs 9.30-12.00,
402,Monaghan - Cavan And Monaghan Education and Training Board Adult information and Guidance service. ,"We aim to provide adults in counties Cavan and Monaghan with the Information, Advice, and Guidance needed to help them make the correct decisions regarding their education, training and career choices.","Career Choice, CV, Interviews ","CMETB Adult Education Service, Dun Mhuire, Mullaghanmonaghan, Monaghan , H18T383",H18T383,No,https://www.cmetbadultguidance.ie/,monaghanguidance@cmetb.ie,04730800,Information & Advice,Information & Advice,54.247,-6.975,Wed 9.30-12.00 & Thurs 9.30-12.00,
403,Monaghan - Monaghan Integrated Development,"Local Development Company. services include: Life Coaching, Training Fund, Driving Lessons, Parenting Programmes, Self-Employment Supports, Household Budgeting, English Conversation Classes.","English classes, financial assistance for training or education, parenting, employment supports'","Monaghan Integrated Development CLG, Unit 9 Drumillard Business Park, Castleblayney, Co Monaghan, Ireland. ",A75 HR59,No,www.midl.ie,info@midl.ie,042 97 49500,"Information & Advice, Employment & Training, Language Support, Community & Family",Multiple Services,54.124,-6.743,N/A,
404,Monaghan - Monaghan Integrated Development ,"Monaghan Integrated Development is a Local Development Company providing rural development, community development and social inclusion supports for people living in Co Monaghan. ","English classes, financial assistance for training or education, parenting, employment supports'","Castleblayney, Co. Monaghan ",A75 HR59,No,www.midl.ie ,info@midl.ie,042 9749500,"Information & Advice, Employment & Training, Education, Language Support, Wellbeing & Mental Health, Community & Family",Multiple Services,54.124,-6.743,9:00 -17:00,
405,Monaghan - Monaghan Migrant Support Centre,"Monaghan Migrant Support Centre run by Monaghan Integrated Development provides various supports for migrants on site and in outreach in County Monaghan: Failte Isteach classes - Conversational English of all levels; Women and toddler group; Men's group. Individual support: Ukrainian Support, Health Intercultural Support Translation service LINC","English classes, help with forms, information, migrant support, events, support for Ukrainians","North Rd, Mullaghmonaghan, Monaghan, H18 ET71",H18 ET71,No,https://www.facebook.com/MigrantSupportMonaghan/,failte.isteachmonaghan@gmail.com,087 673 8835,"Health Services, Information & Advice, Education, Language Support, Community & Family",Multiple Services,54.249,-6.971,9:00 - 13:00,
406,Monaghan - Places of Sanctuary/Schools of Sanctuary,"We aim to build a culture of welcome, inclusion and understanding for all refugees and asylum seekers coming to Ireland. We help create spaces where refugees and other newcomers can meet and build understanding with locals, through Schools, Universities and other Places of Sanctuary.","Welcoming refugees in schools, Universities, churches, libraries and communities",Monaghan,None,No,https://schools-ireland.cityofsanctuary.org/,schools@ireland.cityofsanctuary.org,None,"Employment & Training, Education, Language Support, Community & Family, Public Awareness & Activsm, Empowering and linking refugees and host communities",Education,54.249,-6.968,N/A,
407,Monaghan - Sanctuary Runners,"We have groups nation wide. You can find the updated list at https://sanctuaryrunners.ie/groups/  . Sanctuary Runners uses running, jogging and walking to bring together everyone in the community. Our model allows people to get to know each other and have fun while getting some exercise, especially migrants and refugees new to the community! We operate under the principles of solidarity, friendship and respect. ","Community, friendship, network, running, walking, jogging, exercise, mental health, wellbeing, parks",Monaghan Town,None,No,https://sanctuaryrunners.ie/,sanctuaryrunnersmonaghan@gmail.com,None,"Wellbeing & Mental Health, Community & Family",Multiple Services,54.249,-6.968,"Yes, each group welcomes people to 'just show up'. Times vary depending on the group",
408,Offaly - Laois & Offaly Citizens Information Service,"Citizens Information Services provide free, impartial, and confidential information, advice and advocacy services to the public. Our Information Officers assist people with queries on a broad spectrum of public and social services, including social welfare entitlements, income tax calculations, housing supports and access to health services.","Information, rights, entitlements, housing, social welfare, employment, immigration, consumer rights, health, tax,","Bridge Centre, Tullamore, Co. Offaly",R35Y6Y7,No,www.citinfo.ie,tullamore@citinfo.ie,0818 07 6290,Information & Advice,Information & Advice,53.274,-7.493,Monday - Friday 9:30-12:30,
409,Offaly - Offaly County Council,"Local Authority Integration Teams promote integration from day 1 by helping international protection applicants,refugees & beneficiaries of temporary protection access services and supports.Through service mapping,clinics & tailored coordination,LAITs ensure individuals & families can engage with their communities & thrive in their new environment.","Integration,  access, welcoming,  supportive, help, inclusive, empowering, practical, caring, community, guidance, informative, holistic,  compassionate ","Offaly County Council, Aras an Chontae, Charleville Road, Tullamore, Co Offaly R35 F893",R35 F893 ,No,www.offaly.ie/local-authority-integration-team-lait/,integration@offalycoco.ie,0579346800,Information & Advice,Multiple Services,53.269,-7.500,Not at present,
410,Offaly - OFFALY VOLUNTEER CENTRE,"We are a voluntary organisation and registered charity. Our remit is to support volunteers and VIOs in County Offaly. In March 2022, OVC established Sonyashnyk Offaly (Sunflowers Offaly) in response to the Ukrainian crisis. It is a hub that provides a free shop with necessary clothing and personal hygiene items. Support & Advice.","CLOTHING, PERSONAL HYGIENE ITEMS, ADVICE, SUPPORT, BEFRIENDING",Offaly Volunteer Centre Bury Quay TULLAMORE,R35Y5V0,No,www.volunteeroffaly.ie,ernest@volunteeroffaly.ie,0830154669,"Information & Advice, Community & Family, Public Awareness & Activsm",Multiple Services,53.278,-7.493,Mon-Sat 10-1,
411,Offaly - Sanctuary Runners,"We have groups nation wide. You can find the updated list at https://sanctuaryrunners.ie/groups/  . Sanctuary Runners uses running, jogging and walking to bring together everyone in the community. Our model allows people to get to know each other and have fun while getting some exercise, especially migrants and refugees new to the community! We operate under the principles of solidarity, friendship and respect. ","Community, friendship, network, running, walking, jogging, exercise, mental health, wellbeing, parks",Tullamore,None,No,https://sanctuaryrunners.ie/,tullamore@sanctuaryrunners.ie,None,"Wellbeing & Mental Health, Community & Family",Multiple Services,53.275,-7.492,"Yes, each group welcomes people to 'just show up'. Times vary depending on the group",
412,Roscommon - Roscommon Volunteer Centre,We connect people who are interested in volunteering with meaningful volunteer roles in local community-based organisations.,"volunteer, CV, skills development, improve English, network, meet locals","The Square, Roscommon Town, Co. Roscommon, F42 DP08",F42 DP08,No,www.volunteerroscommon.ie,info@volunteerroscommon.ie,+353(0)89-400-8332,Opportunity to engage in volunteering and community development,Other,53.632,-8.190,Yes,
413,Sligo - MSLETB,"We provide information and guidance on educational and training opportunities to adults and young people over the age of 16 who have left fulltime education. Our service is free, confidential and impartial. ",Information and Guidance on education and training opportunities,"Quay St., Sligo",F91XH96,No,https://msletbadultguidance.ie/,Email 1: sligoadultguidance@msletb.ie ; Email 2: josephinemcgread@msletb.ie ; Email 3: grainnedunne@msletb.ie,071 9138410,Information & Advice,Multiple Services,54.212,-8.510,"Yes, open Monday-Friday from 9am-5pm (closed 1pm-2pm)",
414,Sligo - Sanctuary Runners,"We have groups nation wide. You can find the updated list at https://sanctuaryrunners.ie/groups/  . Sanctuary Runners uses running, jogging and walking to bring together everyone in the community. Our model allows people to get to know each other and have fun while getting some exercise, especially migrants and refugees new to the community! We operate under the principles of solidarity, friendship and respect. ","Community, friendship, network, running, walking, jogging, exercise, mental health, wellbeing, parks",Sligo Town,None,No,https://sanctuaryrunners.ie/,sligo@sanctuaryrunners.ie,None,"Wellbeing & Mental Health, Community & Family",Multiple Services,54.277,-8.476,"Yes, each group welcomes people to 'just show up'. Times vary depending on the group",
415,Sligo - Sligo Leader Partnership CLG,"Supporting Individuals, Communities and Enterprise with Employment training and placements, Social inclusion, Access to education and lifelong learning, Rural and social enterprise development, Community enhancement, Environmental projects",None,Sligo,F91 P7N7,No,https://www.sligoleader.ie/,daria@sligoleader.com,None,"Health Services, Information & Advice, Employment & Training, Education, Language Support, Wellbeing & Mental Health, Community & Family, Youth Services",Information & Advice,54.266,-8.454,N/A,
416,Sligo - Sligo LEADER Partnership CLG,"Supporting Individuals, Communities and Enterprise with Employment training and placements, Social inclusion, Access to education and lifelong learning, Rural and social enterprise development, Community enhancement, Environmental projects",None,Sligo,F91 P7N7,No,https://www.sligoleader.ie/,daria@sligoleader.com,None,"Health Services, Information & Advice, Employment & Training, Education, Language Support, Wellbeing & Mental Health, Community & Family, Youth Services",Information & Advice,54.266,-8.454,N/A,
